source_entity,target_entity,target_answer,control_word,target_token,control_token,target_clean_rank,control_clean_rank,target_clean_log_probability,control_clean_log_probability,clean_log_probability_mismatch,semantic_target_delta,semantic_control_delta,control_target_delta,control_semantic_target_delta,semantic_energy,control_energy,relative_energy_mismatch
Portugal,Greece,Athens,San,21891,2986,47,48,-6.56319522857666,-6.570893287658691,0.00769805908203125,5.257500171661377,0.2314000129699707,2.196049690246582,0.13906192779541016,723.8179834485054,723.8178688883781,1.5827201019861222e-07
Portugal,Ireland,Dublin,South,18220,2520,135,136,-7.557045936584473,-7.557694435119629,0.00064849853515625,5.558402061462402,0.8137121200561523,2.8329410552978516,0.07018852233886719,639.4901905059814,639.4902839660645,1.461477977228461e-07
Portugal,Norway,Oslo,Western,39636,4885,921,922,-9.66927433013916,-9.669953346252441,0.00067901611328125,9.582840919494629,-0.3625326156616211,5.435830116271973,0.4649324417114258,2690.2617683410645,2690.2617721557617,1.4179650881993215e-09
Japan,England,London,Yuk,3576,19760,148,149,-7.416230201721191,-7.425225257873535,0.00899505615234375,4.879822254180908,-0.25574254989624023,7.421749591827393,-9.4166898727417,2553.278106212616,2553.278349876404,9.543174605575323e-08
Japan,Germany,Berlin,Mountain,11307,9638,744,745,-9.499756813049316,-9.501946449279785,0.00218963623046875,9.484227180480957,-5.062808036804199,9.496763229370117,-7.950850486755371,6439.299209594727,6439.2998046875,9.241576669566712e-08
Japan,Italy,Rome,Nation,10598,8741,688,689,-9.391068458557129,-9.392228126525879,0.00115966796875,9.391037940979004,-12.327147483825684,9.39203929901123,-12.679976463317871,9056.39208984375,9056.392028808594,6.7394560266938535e-09
Japan,Russia,Moscow,Con,9070,1482,461,462,-8.874001502990723,-8.874428749084473,0.00042724609375,8.856196403503418,-3.463597297668457,6.861748695373535,-1.693838119506836,6880.626190185547,6880.626449584961,3.769997190553741e-08
Japan,Greece,Athens,Other,21891,3819,416,415,-8.73586368560791,-8.733643531799316,-0.00222015380859375,8.73527717590332,-8.371451377868652,6.326393127441406,-2.260981559753418,6861.6256103515625,6861.625640869141,4.44757261004749e-09
Japan,Austria,Vienna,Ran,23825,23075,1249,1249,-10.205567359924316,-10.205567359924316,0.0,10.205259323120117,-12.012253761291504,10.20554256439209,-13.923893928527832,7487.343841552734,7487.343353271484,6.521421485816787e-08
Japan,Poland,Warsaw,Lin,32955,5164,3144,3143,-11.717385292053223,-11.716912269592285,-0.0004730224609375,11.71295166015625,-2.5353546142578125,11.71674633026123,-12.024758338928223,10104.885528564453,10104.883666992188,1.8422497319368086e-07
Japan,Ireland,Dublin,Camb,18220,21456,3161,3162,-11.72676944732666,-11.727112770080566,0.00034332275390625,11.722784042358398,-9.464447975158691,11.727112770080566,-20.766014099121094,9299.858184814453,9299.858520507812,3.609661058306747e-08
Japan,Sweden,Stockholm,Science,29679,5800,542,543,-9.078614234924316,-9.079926490783691,0.001312255859375,9.078112602233887,-6.703625679016113,8.835638999938965,-3.7494869232177734,7010.160079956055,7010.158630371094,2.0678343210481825e-07
China,England,London,Normal,3576,14435,174,175,-7.413325786590576,-7.413669109344482,0.00034332275390625,4.410646438598633,-1.0425057411193848,7.1354594230651855,-2.614769458770752,1644.6400756835938,1644.6397705078125,1.8555779210424131e-07
China,Germany,Berlin,Nas,11307,22767,1436,1434,-10.110652923583984,-10.109699249267578,-0.00095367431640625,9.972856521606445,-1.5570735931396484,10.109477996826172,-11.981025695800781,5176.111067771912,5176.111556053162,9.433361139412019e-08
China,Italy,Rome,Van,10598,6656,2062,2063,-10.651371002197266,-10.65140151977539,3.0517578125e-05,10.650054931640625,-5.948238372802734,10.347896575927734,-1.7633647918701172,7297.461883544922,7297.460422515869,2.0021057677997e-07
China,Austria,Vienna,Mat,23825,6550,2455,2454,-10.909435272216797,-10.90884017944336,-0.0005950927734375,10.908269882202148,-4.791879653930664,10.22298812866211,0.033416748046875,5999.081398010254,5999.080417633057,1.6342121938715347e-07
China,Norway,Oslo,Boe,39636,12415,8521,8520,-13.534648895263672,-13.53451156616211,-0.0001373291015625,13.534506797790527,-8.264604568481445,13.53451156616211,-19.312946319580078,10118.403701782227,10118.401748657227,1.9302698899590082e-07
China,Sweden,Stockholm,Thick,29679,45816,4888,4889,-12.143062591552734,-12.14321517944336,0.000152587890625,12.140717506408691,-8.654348373413086,12.14318561553955,-14.407604217529297,7240.252723693848,7240.252731323242,1.0537469923228895e-09
Russia,France,Paris,Budapest,6342,40959,91,90,-6.72678804397583,-6.722401142120361,-0.00438690185546875,5.996585369110107,-0.3063817024230957,6.633386611938477,-3.550337314605713,2040.1310279294848,2040.1310279369354,3.6520108242681705e-12
